geneId	position	strand	description
B9J08_002526	scaffold00009:654112-655203	-	hypothetical protein
B9J08_002527	scaffold00009:656600-656908	-	hypothetical protein
B9J08_002528	scaffold00009:657321-657583	-	hypothetical protein
B9J08_002529	scaffold00009:664106-664918	+	hypothetical protein
B9J08_002530	scaffold00009:668648-669775	-	TIGR01456 family HAD hydrolase
B9J08_002531	scaffold00009:670182-671840	-	hypothetical protein
B9J08_002532	scaffold00009:672821-674173	+	hypothetical protein
B9J08_002533	scaffold00009:674525-675028	-	hypothetical protein
B9J08_002534	scaffold00009:677340-679508	-	hypothetical protein
B9J08_002535	scaffold00009:680374-680949	-	hypothetical protein
B9J08_002536	scaffold00009:682867-683937	+	hypothetical protein
B9J08_002537	scaffold00009:684378-685265	+	hypothetical protein
B9J08_002538	scaffold00009:685781-686764	+	hypothetical protein
B9J08_002539	scaffold00009:687172-688401	+	hypothetical protein
B9J08_002540	scaffold00009:689118-690278	+	hypothetical protein
B9J08_002541	scaffold00009:691584-693029	+	hypothetical protein
B9J08_002542	scaffold00009:694326-695714	+	hypothetical protein
B9J08_002543	scaffold00009:696803-698200	+	hypothetical protein
B9J08_002544	scaffold00009:698266-699795	-	hypothetical protein
B9J08_002545	scaffold00009:700993-702780	-	hypothetical protein
B9J08_002546	scaffold00009:704290-704571	-	hypothetical protein
B9J08_002547	scaffold00009:709313-710824	+	hypothetical protein
B9J08_002548	scaffold00009:710990-712744	+	hypothetical protein
B9J08_002549	scaffold00009:712874-713929	-	hypothetical protein
B9J08_002550	scaffold00009:714815-715633	-	hypothetical protein
B9J08_002551	scaffold00009:716435-716775	-	hypothetical protein
B9J08_002552	scaffold00009:717293-718261	+	hypothetical protein
B9J08_002553	scaffold00009:718421-719371	+	hypothetical protein
B9J08_002554	scaffold00009:719432-720133	-	hypothetical protein
B9J08_002555	scaffold00009:720446-721105	+	hypothetical protein
B9J08_002556	scaffold00009:721200-721502	-	hypothetical protein
B9J08_002557	scaffold00009:722147-724030	-	hypothetical protein
B9J08_002558	scaffold00009:724556-725215	-	hypothetical protein
B9J08_002559	scaffold00009:725860-727347	+	hypothetical protein
B9J08_002560	scaffold00009:727390-727824	-	hypothetical protein
B9J08_002561	scaffold00009:728924-729496	-	hypothetical protein
B9J08_002562	scaffold00009:730254-732491	-	hypothetical protein
B9J08_002563	scaffold00009:732687-733463	-	hypothetical protein
B9J08_002564	scaffold00009:734458-735312	-	hypothetical protein
B9J08_002565	scaffold00009:735458-736075	+	hypothetical protein
B9J08_002566	scaffold00009:736981-738435	+	hexokinase
B9J08_002567	scaffold00009:738777-739208	+	hypothetical protein
B9J08_002568	scaffold00009:740025-740875	+	hypothetical protein
B9J08_002569	scaffold00009:740951-742153	-	flap endonuclease 1
B9J08_002570	scaffold00009:742271-745321	-	hypothetical protein
B9J08_002571	scaffold00009:746124-747379	-	hypothetical protein
B9J08_002572	scaffold00009:747640-748611	-	hypothetical protein
B9J08_002573	scaffold00009:748757-751309	+	hypothetical protein
B9J08_002574	scaffold00009:751322-752035	-	hypothetical protein
B9J08_002575	scaffold00009:752245-754629	-	hypothetical protein
B9J08_002576	scaffold00009:755681-757087	+	hypothetical protein
B9J08_002577	scaffold00009:757229-758548	+	hypothetical protein
B9J08_002578	scaffold00009:758902-760290	+	hypothetical protein
B9J08_002579	scaffold00009:760920-761393	+	hypothetical protein
B9J08_002580	scaffold00009:761568-762602	-	hypothetical protein
B9J08_002581	scaffold00009:762991-764910	-	hypothetical protein
B9J08_002582	scaffold00009:767294-769879	+	hypothetical protein
B9J08_002583	scaffold00009:771919-773661	+	hypothetical protein
B9J08_002584	scaffold00009:774904-776745	+	hypothetical protein
B9J08_002585	scaffold00001:2-1229	-	hypothetical protein
B9J08_002586	scaffold00001:2253-2324	-	tRNA-Pro
B9J08_002587	scaffold00001:2752-4098	-	agmatinase
B9J08_002588	scaffold00001:5477-7102	+	hypothetical protein
B9J08_002589	scaffold00001:7259-8083	+	hypothetical protein
B9J08_002590	scaffold00001:8146-8802	-	hypothetical protein
B9J08_002591	scaffold00001:9774-10070	+	hypothetical protein
B9J08_002592	scaffold00001:10602-10967	+	hypothetical protein
B9J08_002593	scaffold00001:14868-15914	+	hypothetical protein
B9J08_002594	scaffold00001:16585-17466	-	hypothetical protein
B9J08_002595	scaffold00001:17602-19824	-	hypothetical protein
B9J08_002596	scaffold00001:20213-21787	-	hypothetical protein
B9J08_002597	scaffold00001:23068-23772	-	hypothetical protein
B9J08_002598	scaffold00001:24326-24913	-	hypothetical protein
B9J08_002599	scaffold00001:25247-27238	+	hypothetical protein
B9J08_002600	scaffold00001:27310-28065	-	phosphomannomutase
B9J08_002601	scaffold00001:29681-30343	-	60S ribosomal protein L10
B9J08_002602	scaffold00001:31618-32079	+	hypothetical protein
B9J08_002603	scaffold00001:32431-33378	+	hypothetical protein
B9J08_002604	scaffold00001:33960-35579	+	hypothetical protein
B9J08_002605	scaffold00001:35722-36087	-	hypothetical protein
B9J08_002606	scaffold00001:36652-37811	-	hypothetical protein
B9J08_002607	scaffold00001:38299-38922	-	hypothetical protein
B9J08_002608	scaffold00001:39381-40042	-	hypothetical protein
B9J08_002609	scaffold00001:40404-40699	+	hypothetical protein
B9J08_002610	scaffold00001:41409-42064	+	hypothetical protein
B9J08_002611	scaffold00001:43630-47472	+	hypothetical protein
B9J08_002612	scaffold00001:48376-49968	-	hypothetical protein
B9J08_002613	scaffold00001:52109-53392	-	hypothetical protein
B9J08_002614	scaffold00001:58578-59573	-	hypothetical protein
B9J08_002615	scaffold00001:61259-64837	-	hypothetical protein
B9J08_002616	scaffold00001:65697-66614	+	hypothetical protein
B9J08_002617	scaffold00001:66700-68979	-	hypothetical protein
B9J08_002618	scaffold00001:69947-73285	-	ATP-dependent protease La
B9J08_002619	scaffold00001:74004-75038	-	hypothetical protein
B9J08_002620	scaffold00001:75145-77148	+	hypothetical protein
B9J08_002621	scaffold00001:77161-77904	-	hypothetical protein
B9J08_002622	scaffold00001:79965-80231	-	ribosomal protein L30
B9J08_002623	scaffold00001:80639-83827	+	hypothetical protein
B9J08_002624	scaffold00001:83902-84105	-	hypothetical protein
B9J08_002625	scaffold00001:84595-84668	-	tRNA-Val
B9J08_002626	scaffold00001:85068-85553	+	hypothetical protein
B9J08_002627	scaffold00001:86823-87911	+	D-xylulose reductase
B9J08_002628	scaffold00001:88027-91272	-	hypothetical protein
B9J08_002629	scaffold00001:91866-93908	-	acetolactate synthase%2C large subunit%2C biosynthetic type
B9J08_002630	scaffold00001:94465-95949	-	hypothetical protein
B9J08_002631	scaffold00001:97357-98463	-	hypothetical protein
B9J08_002632	scaffold00001:99915-102025	+	glutamine-fructose-6-phosphate aminotransferase [isomerizing]
B9J08_002633	scaffold00001:102130-102449	-	hypothetical protein
B9J08_002634	scaffold00001:103546-105663	+	hypothetical protein
B9J08_002635	scaffold00001:106829-108184	+	hypothetical protein
B9J08_002636	scaffold00001:108297-110636	-	hypothetical protein
B9J08_002637	scaffold00001:110988-112476	-	hypothetical protein
B9J08_002638	scaffold00001:112665-113798	-	deoxyhypusine synthase
B9J08_002639	scaffold00001:114382-114801	-	hypothetical protein
B9J08_002640	scaffold00001:115272-115613	+	hypothetical protein
B9J08_002641	scaffold00001:116260-119118	+	hypothetical protein
B9J08_002642	scaffold00001:119123-119464	-	cytochrome c oxidase-assembly factor COX23%2C mitochondrial
B9J08_002643	scaffold00001:119731-120282	-	hypothetical protein
B9J08_002644	scaffold00001:121444-122742	+	hypothetical protein
B9J08_002645	scaffold00001:123285-123962	+	hypothetical protein
B9J08_002646	scaffold00001:125274-126908	-	hypothetical protein
B9J08_002647	scaffold00001:128039-128767	-	hypothetical protein
B9J08_002648	scaffold00001:129031-129378	-	hypothetical protein
B9J08_002649	scaffold00001:129704-131669	+	hypothetical protein
B9J08_002650	scaffold00001:131790-133997	-	hypothetical protein
B9J08_002651	scaffold00001:134838-137759	-	isoleucine-tRNA ligase
B9J08_002652	scaffold00001:138026-139665	-	citrate synthase%2C mitochondrial
B9J08_002653	scaffold00001:141559-143226	-	hypothetical protein
B9J08_002654	scaffold00001:144151-145785	-	hypothetical protein
B9J08_002655	scaffold00001:147910-149976	+	hypothetical protein
B9J08_002656	scaffold00001:150559-151452	+	hypothetical protein
B9J08_002657	scaffold00001:151640-152704	+	hypothetical protein
B9J08_002658	scaffold00001:153406-153487	+	tRNA-Ser
B9J08_002659	scaffold00001:154717-156477	+	hypothetical protein
B9J08_002660	scaffold00001:158622-160771	+	hypothetical protein
B9J08_002661	scaffold00001:161248-164301	+	hypothetical protein
B9J08_002662	scaffold00001:164454-165641	+	hypothetical protein
B9J08_002663	scaffold00001:165670-167334	-	hypothetical protein
B9J08_002664	scaffold00001:167669-173257	-	hypothetical protein
B9J08_002665	scaffold00001:176004-179750	+	hypothetical protein
B9J08_002666	scaffold00001:179999-181702	-	hypothetical protein
B9J08_002667	scaffold00001:183006-188678	-	hypothetical protein
B9J08_002668	scaffold00001:188900-190459	-	hypothetical protein
B9J08_002669	scaffold00001:192084-193745	-	phosphoenolpyruvate carboxykinase [ATP]
B9J08_002670	scaffold00001:195095-198079	-	hypothetical protein
B9J08_002671	scaffold00001:199017-201239	+	hypothetical protein
B9J08_002672	scaffold00001:201385-202611	+	hypothetical protein
B9J08_002673	scaffold00001:202620-207353	-	hypothetical protein
B9J08_002674	scaffold00001:207492-209461	-	hypothetical protein
B9J08_002675	scaffold00001:209835-212177	-	hypothetical protein
B9J08_002676	scaffold00001:213696-218903	+	hypothetical protein
B9J08_002677	scaffold00001:219477-222449	+	hypothetical protein
B9J08_002678	scaffold00001:222518-223186	-	hypothetical protein
B9J08_002679	scaffold00001:223507-226317	-	hypothetical protein
B9J08_002680	scaffold00001:227929-230709	+	hypothetical protein
B9J08_002681	scaffold00001:230829-231173	-	hypothetical protein
B9J08_002682	scaffold00001:231196-232308	-	mitogen-activated protein kinase MKC1
B9J08_002683	scaffold00001:233287-234420	-	hypothetical protein
B9J08_002684	scaffold00001:235505-237574	+	hypothetical protein
B9J08_002685	scaffold00001:237985-239529	+	hypothetical protein
B9J08_002686	scaffold00001:239776-241959	+	hypothetical protein
B9J08_002687	scaffold00001:242118-244325	+	hypothetical protein
B9J08_002688	scaffold00001:244375-245501	-	hypothetical protein
B9J08_002689	scaffold00001:246658-247437	-	succinate dehydrogenase [ubiquinone] iron-sulfur subunit%2C mitochondrial
B9J08_002690	scaffold00001:247974-249221	-	hypothetical protein
B9J08_002691	scaffold00001:249530-250693	-	hypothetical protein
B9J08_002692	scaffold00001:251048-252187	-	hypothetical protein
B9J08_002693	scaffold00001:252440-252724	-	hypothetical protein
B9J08_002694	scaffold00001:252850-253542	-	hypothetical protein
B9J08_002695	scaffold00001:255060-255416	+	hypothetical protein
B9J08_002696	scaffold00001:256580-257509	+	hypothetical protein
B9J08_002697	scaffold00001:257585-260428	-	hypothetical protein
B9J08_002698	scaffold00001:260812-264183	-	hypothetical protein
B9J08_002699	scaffold00001:264648-266135	-	hypothetical protein
B9J08_002700	scaffold00001:266384-266455	-	tRNA-His
B9J08_002701	scaffold00001:266915-269334	+	hypothetical protein
B9J08_002702	scaffold00001:269358-270362	-	hypothetical protein
B9J08_002703	scaffold00001:270517-271305	-	hypothetical protein
B9J08_002704	scaffold00001:271694-272206	+	hypothetical protein
B9J08_002705	scaffold00001:272629-273657	+	hypothetical protein
B9J08_002706	scaffold00001:273977-276016	+	hypothetical protein
B9J08_002707	scaffold00001:276662-281632	+	hypothetical protein
B9J08_002708	scaffold00001:282067-283464	+	homoserine O-acetyltransferase
B9J08_002709	scaffold00001:283693-284562	+	hypothetical protein
B9J08_002710	scaffold00001:284733-287612	-	hypothetical protein
B9J08_002711	scaffold00001:290687-292888	+	hypothetical protein
B9J08_002712	scaffold00001:292932-294572	-	protein disulfide-isomerase domain
B9J08_002713	scaffold00001:295160-295852	-	hypothetical protein
B9J08_002714	scaffold00001:297125-298570	+	hypothetical protein
B9J08_002715	scaffold00001:298943-300583	-	hypothetical protein
B9J08_002716	scaffold00001:301705-301778	+	tRNA-Ile
B9J08_002717	scaffold00001:301830-302825	+	hypothetical protein
B9J08_002718	scaffold00001:302887-303357	-	60S ribosomal protein L24
B9J08_002719	scaffold00001:304082-304508	+	60S ribosomal protein L30
B9J08_002720	scaffold00001:304583-305314	-	hypothetical protein
B9J08_002721	scaffold00001:305962-307080	+	tRNA N6-adenosine threonylcarbamoyltransferase
B9J08_002722	scaffold00001:307287-308414	-	hypothetical protein
B9J08_002723	scaffold00001:308551-309303	-	hypothetical protein
B9J08_002724	scaffold00001:309613-310653	-	hypothetical protein
B9J08_002725	scaffold00001:311941-313548	-	hypothetical protein
B9J08_002726	scaffold00001:313656-315746	-	hypothetical protein
B9J08_002727	scaffold00001:316515-318026	-	hypothetical protein
B9J08_002728	scaffold00001:318341-318787	+	hypothetical protein
B9J08_002729	scaffold00001:319505-320017	+	hypothetical protein
B9J08_002730	scaffold00001:320152-320982	-	hypothetical protein
B9J08_002731	scaffold00001:322070-323122	+	hypothetical protein
B9J08_002732	scaffold00001:323536-324129	+	hypothetical protein
B9J08_002733	scaffold00001:324240-324602	-	acetate non-utilizing protein 9%2C mitochondrial
B9J08_002734	scaffold00001:325598-327181	+	hypothetical protein
B9J08_002735	scaffold00001:328281-330674	+	hypothetical protein
B9J08_002736	scaffold00001:331268-333670	+	hypothetical protein
B9J08_002737	scaffold00001:336109-337590	+	hypothetical protein
B9J08_002738	scaffold00001:339047-340063	+	hypothetical protein
B9J08_002739	scaffold00001:340383-342032	+	hypothetical protein
B9J08_002740	scaffold00001:342258-343256	+	hypothetical protein
B9J08_002741	scaffold00001:343437-345011	-	hypothetical protein
B9J08_002742	scaffold00001:345479-346762	+	dihydroorotate dehydrogenase (quinone)%2C mitochondrial
B9J08_002743	scaffold00001:346962-347816	+	hypothetical protein
B9J08_002744	scaffold00001:348103-349008	+	hypothetical protein
B9J08_002745	scaffold00001:349029-350114	-	hypothetical protein
B9J08_002746	scaffold00001:350926-352440	+	nucleolar protein 56
B9J08_002747	scaffold00001:352661-353374	-	hypothetical protein
B9J08_002748	scaffold00001:353561-356005	-	hypothetical protein
B9J08_002749	scaffold00001:356763-357464	+	ubiquitin-conjugating enzyme E2 4
B9J08_002750	scaffold00001:357849-361094	+	hypothetical protein
B9J08_002751	scaffold00001:361294-365517	+	hypothetical protein
B9J08_002752	scaffold00001:365559-365924	-	hypothetical protein
B9J08_002753	scaffold00001:366032-366307	-	hypothetical protein
B9J08_002754	scaffold00001:367405-369498	-	hypothetical protein
B9J08_002755	scaffold00001:369684-370967	-	hypothetical protein
B9J08_002756	scaffold00001:371222-373003	-	hypothetical protein
B9J08_002757	scaffold00001:373119-373412	+	hypothetical protein
B9J08_002758	scaffold00001:373785-375338	+	hypothetical protein
B9J08_002759	scaffold00001:377847-380003	-	NADH dehydrogenase (quinone)%2C G subunit
B9J08_002760	scaffold00001:381125-381748	-	hypothetical protein
B9J08_002761	scaffold00001:382604-383941	-	hypothetical protein
B9J08_002762	scaffold00001:387008-388561	+	inositol-3-phosphate synthase
B9J08_002763	scaffold00001:389705-391798	+	hypothetical protein
B9J08_002764	scaffold00001:391889-393025	-	hypothetical protein
B9J08_002765	scaffold00001:393678-393995	+	hypothetical protein
B9J08_002766	scaffold00001:394056-398054	-	hypothetical protein
B9J08_002767	scaffold00001:398387-399196	+	proteasome subunit beta type-2
B9J08_002768	scaffold00001:399381-400424	+	hypothetical protein
B9J08_002769	scaffold00001:400645-401976	+	S-(hydroxymethyl)glutathione dehydrogenase
B9J08_002770	scaffold00001:403305-404405	+	isocitrate dehydrogenase%2C NAD-dependent
B9J08_002771	scaffold00001:404493-405155	-	phosphoribosylglycinamide formyltransferase
B9J08_002772	scaffold00001:406605-409270	+	elongation factor 2
B9J08_002773	scaffold00001:410292-411308	+	hypothetical protein
B9J08_002774	scaffold00001:411709-413838	+	hypothetical protein
B9J08_002775	scaffold00001:413949-414569	+	hypothetical protein
B9J08_002776	scaffold00001:414589-416811	-	hypothetical protein
B9J08_002777	scaffold00001:417075-417902	-	hypothetical protein
B9J08_002778	scaffold00001:418144-420321	-	threonine-tRNA ligase%2C cytoplasmic
B9J08_002779	scaffold00001:420820-421218	-	ribosomal protein L14
B9J08_002780	scaffold00001:422399-423895	+	D-lactate dehydrogenase [cytochrome] 2%2C mitochondrial
B9J08_002781	scaffold00001:423935-426112	-	hypothetical protein
B9J08_002782	scaffold00001:426718-427542	-	hypothetical protein
B9J08_002783	scaffold00001:427849-428286	+	catabolic 3-dehydroquinase
B9J08_002784	scaffold00001:428309-429052	-	hypothetical protein
B9J08_002785	scaffold00001:429322-430203	-	hypothetical protein
B9J08_002786	scaffold00001:430365-430865	-	ribosomal protein L7/L12
B9J08_002787	scaffold00001:431328-431666	+	DNA-directed RNA polymerase II subunit RPB9
B9J08_002788	scaffold00001:431836-433182	-	cAMP-dependent protein kinase type 2
B9J08_002789	scaffold00001:433773-435254	-	hypothetical protein
B9J08_002790	scaffold00001:437885-439129	+	hypothetical protein
B9J08_002791	scaffold00001:439331-440062	-	hypothetical protein
B9J08_002792	scaffold00001:441716-443374	+	hypothetical protein
B9J08_002793	scaffold00001:443801-448942	+	hypothetical protein
B9J08_002794	scaffold00001:448956-449714	-	hypothetical protein
B9J08_002795	scaffold00001:449918-451747	-	hypothetical protein
B9J08_002796	scaffold00001:453204-455744	+	hypothetical protein
B9J08_002797	scaffold00001:455863-457293	-	hypothetical protein
B9J08_002798	scaffold00001:457935-459437	+	hypothetical protein
B9J08_002799	scaffold00001:459577-460107	+	hypothetical protein
B9J08_002800	scaffold00001:460393-461085	-	hypothetical protein
B9J08_002801	scaffold00001:461203-462264	-	hypothetical protein
B9J08_002802	scaffold00001:462740-463393	+	hypothetical protein
B9J08_002803	scaffold00001:463850-464599	+	hypothetical protein
B9J08_002804	scaffold00001:464662-465825	-	hypothetical protein
B9J08_002805	scaffold00001:466153-466779	-	hypothetical protein
B9J08_002806	scaffold00001:467069-467758	+	mitochondrial inner membrane protease ATP23
B9J08_002807	scaffold00001:468544-470337	+	hypothetical protein
B9J08_002808	scaffold00001:470494-471303	+	hypothetical protein
B9J08_002809	scaffold00001:471578-472061	+	hypothetical protein
B9J08_002810	scaffold00001:472730-472987	+	hypothetical protein
B9J08_002811	scaffold00001:474294-474890	+	hypothetical protein
B9J08_002812	scaffold00001:475186-475256	-	tRNA-Gln
B9J08_002813	scaffold00001:477292-480447	+	elongation factor 3
B9J08_002814	scaffold00001:480915-482621	+	hypothetical protein
B9J08_002815	scaffold00001:483179-484387	+	hypothetical protein
B9J08_002816	scaffold00001:484448-485347	-	hypothetical protein
B9J08_002817	scaffold00001:485738-486169	-	hypothetical protein
B9J08_002818	scaffold00001:486353-487675	-	hypothetical protein
B9J08_002819	scaffold00001:489840-491870	+	chaperone DnaK
B9J08_002820	scaffold00001:492319-494390	+	hypothetical protein
B9J08_002821	scaffold00001:494953-496326	+	hypothetical protein
B9J08_002822	scaffold00001:496419-497627	+	S-methyl-5-thioribose-1-phosphate isomerase
B9J08_002823	scaffold00001:497919-501566	+	hypothetical protein
B9J08_002824	scaffold00001:501621-502496	-	hypothetical protein
B9J08_002825	scaffold00001:502807-503013	-	hypothetical protein
B9J08_002826	scaffold00001:503940-507101	-	valine-tRNA ligase%2C mitochondrial
B9J08_002827	scaffold00001:507415-508956	-	hypothetical protein
B9J08_002828	scaffold00001:509071-509808	+	hypothetical protein
B9J08_002829	scaffold00001:509897-511690	-	hypothetical protein
B9J08_002830	scaffold00001:512315-513205	+	hypothetical protein
B9J08_002831	scaffold00001:514448-515263	+	hypothetical protein
B9J08_002832	scaffold00001:515981-519337	+	hypothetical protein
B9J08_002833	scaffold00001:519501-520346	+	hypothetical protein
B9J08_002834	scaffold00001:522933-524420	+	hypothetical protein
B9J08_002835	scaffold00001:525663-526238	-	hypothetical protein
B9J08_002836	scaffold00001:526432-529107	-	hypothetical protein
B9J08_002837	scaffold00001:529839-530264	-	hypothetical protein
B9J08_002838	scaffold00001:530390-533511	-	hypothetical protein
B9J08_002839	scaffold00001:534503-535819	+	hypothetical protein
B9J08_002840	scaffold00001:538045-539802	+	hypothetical protein
B9J08_002841	scaffold00001:540934-541449	-	hypothetical protein
B9J08_002842	scaffold00001:541677-543956	-	hypothetical protein
B9J08_002843	scaffold00001:545877-547127	+	hypothetical protein
B9J08_002844	scaffold00001:547210-548607	-	hypothetical protein
B9J08_002845	scaffold00001:548861-551002	+	hypothetical protein
B9J08_002846	scaffold00001:551050-553422	-	hypothetical protein
B9J08_002847	scaffold00001:555040-557763	+	peroxisomal hydratase-dehydrogenase-epimerase
B9J08_002848	scaffold00001:557889-559748	-	hypothetical protein
B9J08_002849	scaffold00001:561018-563132	-	hypothetical protein
B9J08_002850	scaffold00001:563390-564748	-	hypothetical protein
B9J08_002851	scaffold00001:565269-566062	+	hypothetical protein
B9J08_002852	scaffold00001:566198-567586	-	hypothetical protein
B9J08_002853	scaffold00001:567922-570177	-	hypothetical protein
B9J08_002854	scaffold00001:570478-572757	-	hypothetical protein
B9J08_002855	scaffold00001:575253-577952	-	plasma membrane ATPase 1
B9J08_002856	scaffold00001:580951-583908	-	hypothetical protein
B9J08_002857	scaffold00001:584818-588900	-	hypothetical protein
B9J08_002858	scaffold00001:589112-589933	-	hypothetical protein
B9J08_002859	scaffold00001:590552-591859	+	hypothetical protein
B9J08_002860	scaffold00001:592661-594667	+	hypothetical protein
B9J08_002861	scaffold00001:594831-598472	-	hypothetical protein
B9J08_002862	scaffold00001:598928-599342	+	hypothetical protein
B9J08_002863	scaffold00001:599705-601204	+	hypothetical protein
B9J08_002864	scaffold00001:602458-604017	+	hypothetical protein
B9J08_002865	scaffold00001:604284-608363	+	hypothetical protein
B9J08_002866	scaffold00001:608557-608629	-	tRNA-Arg
B9J08_002867	scaffold00001:608745-609725	-	hypothetical protein
B9J08_002868	scaffold00001:609832-611274	-	hypothetical protein
B9J08_002869	scaffold00001:612153-612434	+	hypothetical protein
B9J08_002870	scaffold00001:612547-613760	-	hypothetical protein
B9J08_002871	scaffold00001:613942-614634	-	hypothetical protein
B9J08_002872	scaffold00001:614834-615502	-	hypothetical protein
B9J08_002873	scaffold00001:615627-615698	+	tRNA-Asp
B9J08_002874	scaffold00001:615989-617260	+	hypothetical protein
B9J08_002875	scaffold00001:617313-620825	-	hypothetical protein
B9J08_002876	scaffold00001:621689-622244	+	calmodulin
B9J08_002877	scaffold00001:622353-632018	-	hypothetical protein
B9J08_002878	scaffold00001:634038-634883	+	hypothetical protein
B9J08_002879	scaffold00001:635071-637413	+	hypothetical protein
B9J08_002880	scaffold00001:637550-637620	+	tRNA-Gly
B9J08_002881	scaffold00001:638003-639022	+	hypothetical protein
B9J08_002882	scaffold00001:639749-640378	+	hypothetical protein
B9J08_002883	scaffold00001:640434-640865	-	spliceosomal protein DIB1
B9J08_002884	scaffold00001:640996-641929	+	hypothetical protein
B9J08_002885	scaffold00001:642101-643165	+	dihydroorotase%2C homodimeric type
B9J08_002886	scaffold00001:645063-646694	+	hypothetical protein
B9J08_002887	scaffold00001:646840-647829	-	hypothetical protein
B9J08_002888	scaffold00001:648102-650450	-	hypothetical protein
B9J08_002889	scaffold00001:651028-652017	-	hypothetical protein
B9J08_002890	scaffold00001:652382-653512	-	hypothetical protein
B9J08_002891	scaffold00001:654236-657256	+	hypothetical protein
B9J08_002892	scaffold00001:657392-658318	+	hypothetical protein
B9J08_002893	scaffold00001:658539-659465	+	hypothetical protein
B9J08_002894	scaffold00001:659518-660732	-	hypothetical protein
B9J08_002895	scaffold00001:661562-663619	+	hypothetical protein
B9J08_002896	scaffold00001:664300-667785	+	hypothetical protein
B9J08_002897	scaffold00001:667920-670295	+	hypothetical protein
B9J08_002898	scaffold00001:670319-671824	-	hypothetical protein
B9J08_002899	scaffold00001:672550-672861	-	hypothetical protein
B9J08_002900	scaffold00001:672995-674881	-	hypothetical protein
B9J08_002901	scaffold00001:675841-678924	+	hypothetical protein
B9J08_002902	scaffold00001:678984-679658	+	hypothetical protein
B9J08_002903	scaffold00001:679844-682456	+	hypothetical protein
B9J08_002904	scaffold00001:682579-683397	+	hypothetical protein
B9J08_002905	scaffold00001:683599-685491	+	hypothetical protein
B9J08_002906	scaffold00001:685678-686043	+	protein translocase SEC61 complex gamma subunit%2C archaeal and eukaryotic
B9J08_002907	scaffold00001:686366-687241	+	hypothetical protein
B9J08_002908	scaffold00001:687329-688204	+	hypothetical protein
B9J08_002909	scaffold00001:688618-689763	-	hypothetical protein
B9J08_002910	scaffold00001:689989-690414	-	succinate dehydrogenase assembly factor 2%2C mitochondrial
B9J08_002911	scaffold00001:690562-691137	+	hypothetical protein
B9J08_002912	scaffold00001:691252-693513	-	hypothetical protein
B9J08_002913	scaffold00001:694459-695223	+	hypothetical protein
B9J08_002914	scaffold00001:695406-696288	+	hypothetical protein
B9J08_002915	scaffold00001:696352-696990	-	hypothetical protein
B9J08_002916	scaffold00001:697230-698564	-	hypothetical protein
B9J08_002917	scaffold00001:698688-700280	-	hypothetical protein
B9J08_002918	scaffold00001:701228-702751	+	hypothetical protein
B9J08_002919	scaffold00001:703254-704909	+	malate synthase%2C glyoxysomal
B9J08_002920	scaffold00001:706520-707119	+	glutaredoxin
B9J08_002921	scaffold00001:707222-707881	-	40S ribosomal protein S11-A
B9J08_002922	scaffold00001:708918-710231	+	hypothetical protein
B9J08_002923	scaffold00001:710320-710640	-	hypothetical protein
B9J08_002924	scaffold00001:711261-712484	+	hypothetical protein
B9J08_002925	scaffold00001:712946-714394	+	hypothetical protein
B9J08_002926	scaffold00001:714665-716383	+	hypothetical protein
B9J08_002927	scaffold00001:716431-717006	-	hypothetical protein
B9J08_002928	scaffold00001:717420-718925	+	hypothetical protein
B9J08_002929	scaffold00001:718932-722762	-	hypothetical protein
B9J08_002930	scaffold00001:724443-728150	+	hypothetical protein
B9J08_002931	scaffold00001:728413-731640	+	hypothetical protein
B9J08_002932	scaffold00001:733912-734820	+	hypothetical protein
B9J08_002933	scaffold00001:735065-736681	+	hypothetical protein
B9J08_002934	scaffold00001:736760-737065	+	hypothetical protein
B9J08_002935	scaffold00001:737195-737267	-	tRNA-Phe
B9J08_002936	scaffold00001:737779-739254	-	hypothetical protein
B9J08_002937	scaffold00001:739348-740211	-	hypothetical protein
B9J08_002938	scaffold00001:740426-741634	-	hypothetical protein
B9J08_002939	scaffold00001:741806-743524	+	hypothetical protein
B9J08_002940	scaffold00001:744375-746060	+	hypothetical protein
B9J08_002941	scaffold00001:746479-749517	+	hypothetical protein
B9J08_002942	scaffold00001:749551-751335	-	hypothetical protein
B9J08_002943	scaffold00001:751880-753076	-	hypothetical protein
B9J08_002944	scaffold00001:753288-753947	-	imidazoleglycerol-phosphate dehydratase
B9J08_002945	scaffold00001:754884-757406	+	hypothetical protein
B9J08_002946	scaffold00001:757507-759948	+	hypothetical protein
B9J08_002947	scaffold00001:759999-761099	-	hypothetical protein
B9J08_002948	scaffold00001:761260-762594	-	hypothetical protein
B9J08_002949	scaffold00001:762857-763672	-	hypothetical protein
B9J08_002950	scaffold00001:763853-765103	+	hypothetical protein
B9J08_002951	scaffold00001:765135-765917	-	hypothetical protein
B9J08_002952	scaffold00001:766762-768042	+	hypothetical protein
B9J08_002953	scaffold00001:768252-773699	+	hypothetical protein
B9J08_002954	scaffold00001:774671-776410	+	hypothetical protein
B9J08_002955	scaffold00001:777019-779766	+	hypothetical protein
B9J08_002956	scaffold00001:780055-782076	+	hypothetical protein
B9J08_002957	scaffold00001:782123-782824	-	tRNA-intron endonuclease
B9J08_002958	scaffold00001:783768-784751	-	hypothetical protein
B9J08_002959	scaffold00001:784953-785303	-	hypothetical protein
